Estimate.Intercept,Est.Error.Intercept,Q2.5.Intercept,Q97.5.Intercept,nuts_2
-0.7199318883067802,0.209840487261242,-1.1317475814928564,-0.30549923428045594,DEA3
-1.5173040386813597,0.1887296782518275,-1.87691182763104,-1.1480826190238047,DEA4
0.0067081601868841925,0.225378261217944,-0.42326261590053427,0.4631764909489649,DEA5
-0.24390840468205366,0.18153706489593727,-0.5923318484991242,0.11565577144498614,DEB1
0.06740785123347796,0.20091770065124828,-0.3179930995234196,0.4682973816642028,DEB2
-0.8895176283755325,0.18788963310823525,-1.25048967315996,-0.5178990518769099,DEB3
-1.2756127318795958,0.19289955097471154,-1.6466760119864567,-0.8983931071360486,DEC0
-0.5446507352450278,0.1818830176486828,-0.8867225115328848,-0.17521180876434064,DED2
-1.6941325622300039,0.19179312141247004,-2.060739401343114,-1.3148163706900093,DED4
-0.5683120363812045,0.19119585789641982,-0.9374060939931694,-0.18244886398371113,DED5
-2.157971051271209,0.3168435543930496,-2.759361773340539,-1.5012161009158134,DEE0
-0.004013372469320953,0.21103531913969423,-0.42157849697482025,0.40877231618762905,DEF0
-2.362237875982717,0.24596168686432085,-2.8343009517029416,-1.8575379670676655,DEG0
-0.14598632230005898,0.23110427187859586,-0.6054639138326156,0.30370517016345433,DK01
-1.649977323126406,0.19154791657948125,-2.016356746686566,-1.2713460773631253,DK02
-0.9347261360711061,0.21756744458545796,-1.3775073444439858,-0.5127423168448029,DK03
-0.5664158184868969,0.21467932891672362,-0.9811329137379625,-0.1419796648183627,DK04
-0.48038507300292044,0.2116971560380073,-0.8842373001819365,-0.0580047691495147,DK05
1.3156220131282326,0.2208477861209426,0.8793004240854485,1.7479620136668481,EE00
1.646962593774623,0.2199853330189955,1.2368724745234456,2.0997806145215256,EL30
1.2679286476717118,0.2625648152162358,0.751059532359983,1.786273070590803,EL41
2.750429340771469,0.2974310636013399,2.1692966332835897,3.333720989293268,EL42
4.450872341765675,0.19627349351902504,4.069568872221237,4.836528441289853,EL43
0.8800715933247296,0.20654255624300208,0.47165994247135135,1.2705067804354986,EL51
1.5235212650678074,0.21225524975347287,1.1136374367398405,1.9373450855279768,EL52
-1.1706530372652808,0.23068167125309452,-1.6247269435875895,-0.71964049543854,EL53
1.1669301914550139,0.2212376905771448,0.7349685505311072,1.6015947361409792,EL54
1.1489011138574203,0.2011302625593022,0.7546860564012768,1.5476783446734614,EL61
2.9321626548021853,0.2559159087142872,2.428163967794124,3.4404701621578404,EL62
0.26551833439463024,0.21132855542323994,-0.14942826659681582,0.6806704244302154,EL63
0.07066808883210103,0.2288257913172986,-0.3829297270607096,0.5107059735602975,EL64
0.13530642769863807,0.3527362895289494,-0.550149206869853,0.8320556048031446,EL65
0.366440863655733,0.27421876200120787,-0.16613829097244506,0.9243650608602795,ES11
0.27767801929798874,0.2184666112185397,-0.13361468789654576,0.7217265906868813,ES12
0.20272146111061917,0.22770341911745956,-0.23354191197268878,0.6579147224346426,ES13
0.6981755543070008,0.22315345155462912,0.280385243436801,1.149161738645551,ES21
0.7030815533542594,0.23164380544538984,0.2566252450095419,1.1679464832235213,ES22
-0.5631484968337815,0.25882889286364696,-1.0518799144645612,-0.036801074173669415,ES23
0.33855729305617327,0.24075318127459325,-0.12788851819941566,0.8099244604164535,ES24
0.6735657297526415,0.2971599656143037,0.09464582270127722,1.269640593207351,ES30
-0.6420739411717932,0.5809788954706525,-1.7595456995476,0.5331432886107272,ES41
-0.9264569304472967,0.2887417979283963,-1.484308491745548,-0.35781129605070927,ES42
-0.8890127656346368,0.2941100255794305,-1.4682267261040447,-0.306324796103643,ES43
1.5410764328078683,0.3480450352187141,0.8699104172837132,2.2283236483944293,ES51
1.1917594513804113,0.28601780453409775,0.6495857329922281,1.7647604643674935,ES52
3.434345843564404,0.21189046858411315,3.0312564028050857,3.863029047948476,ES53
1.5437906433120803,0.4882122893685756,0.559499411570751,2.4741350093482195,ES61
1.2097737921386296,0.22005077737064718,0.7843225348588743,1.6518058109029718,ES62
-1.625174045693053,0.4208345960973352,-2.4609339894599898,-0.8274833542857968,ES63
-1.1975228398605078,0.43835523089731027,-2.045635326439711,-0.36148344169935415,ES64
5.033487256247363,0.2177580332794526,4.621370669599958,5.4752882002491745,ES70
-0.7712913338109008,0.326626233026697,-1.4050654555164515,-0.11680515966984877,FI19
1.0700497788055923,0.25354204617515724,0.5879251102836204,1.5817916875239237,FI1B
0.18174832894383222,0.2668193969335727,-0.32713906232694373,0.7123689512315036,FI1C
1.190139644879399,0.3179055714438915,0.5602595665928741,1.811267695665812,FI1D
